_id,date,url,title,price
ObjectId(5874c40c25149736a833af81),2016-12-14,http://bj.58.com/shouji/28374520795215x.shtml,"【图】
        北京收售苹果6S华为P9oppoR9s三星S7小米5SvivoX9苹果6P - 北京二手手机 - 北京58同城",3300
ObjectId(5874c40c2514974aa01916c7),2016-12-25,http://bj.58.com/shouji/28496720888014x.shtml,"【图】
        三星S7edge 国行32G 金色 - 北京二手手机 - 北京58同城",2000
ObjectId(5874c40c251497514085c3a2),2016-12-12,http://bj.58.com/shouji/25468877573190x.shtml,"【图】
        苹果5黑色、自己用的 - 北京二手手机 - 北京58同城",870
ObjectId(5874c40c251497470c220fe4),2017-01-10,http://bj.58.com/shouji/28676452213437x.shtml,"【图】
        苹果6金色的 - 北京二手手机 - 北京58同城",1000
ObjectId(5874c40c25149736a833af82),2016-12-14,http://bj.58.com/shouji/28330741454398x.shtml,"【图】
        北京收售苹果7三星S6vivoX7华为P9plus苹果7苹果ipad平板电脑 - 北京二手手机 - 北京58同城",4300
ObjectId(5874c40c2514974aa01916c8),2017-01-10,http://bj.58.com/shouji/28621978484795x.shtml,"【图】
        二手苹果5s - 北京二手手机 - 北京58同城",650
ObjectId(5874c40c251497470c220fe5),2017-01-10,http://bj.58.com/shouji/28676566435003x.shtml,"【图】
        中奖礼品全新 - 北京二手手机 - 北京58同城",5600
ObjectId(5874c40c25149736a833af83),2016-12-14,http://bj.58.com/shouji/28374763841864x.shtml,"【图】
        苹果7plus 128G 正品行货 可以验机 - 北京二手手机 - 北京58同城",4000
ObjectId(5874c40c251497514085c3a3),2016-12-12,http://bj.58.com/shouji/28299150451128x.shtml,"【图】
        三星S7手机一部处理 - 北京二手手机 - 北京58同城",2800
ObjectId(5874c40d25149736a833af84),2016-12-14,http://bj.58.com/shouji/28374697876549x.shtml,"【图】
        苹果6plus 使用4.5个月 正品行货 - 北京二手手机 - 北京58同城",2000
ObjectId(5874c40d251497470c220fe6),2017-01-10,http://bj.58.com/shouji/25790407466314x.shtml,"【图】
        转让华为电信手机 - 北京二手其他 - 北京58同城",30
ObjectId(5874c40d2514974aa01916c9),2017-01-10,http://bj.58.com/shouji/28624528146000x.shtml,"【图】
        大型实体店出售全新 二手手机 - 北京二手手机 - 北京58同城",3500
ObjectId(5874c40d251497514085c3a4),2016-12-20,http://bj.58.com/shouji/28441488895806x.shtml,"【图】
        三星S7edge 正品行货 4G 支持验货 - 北京二手手机 - 北京58同城",2000
ObjectId(5874c40d251497470c220fe7),2016-12-15,http://bj.58.com/shouji/28299968166714x.shtml,"【图】
        苹果4s，一部 - 北京二手手机 - 北京58同城",380
ObjectId(5874c40d25149736a833af85),2016-12-14,http://bj.58.com/shouji/28374790216014x.shtml,"【图】
        三星W2016使用3.4个月 国行 全国联保 - 北京二手手机 - 北京58同城",4500
ObjectId(5874c40d251497514085c3a5),2016-12-20,http://bj.58.com/shouji/28441554287661x.shtml,"【图】
        三星W2015 正品行货.95成新.可置换 - 北京二手手机 - 北京58同城",2500
